number,title,depth,part,chapter,start_pdf_page,end_pdf_page_hierarchical,end_pdf_page_atomic,hierarchical_file,atomic_file,hierarchical_utf8_bytes,atomic_utf8_bytes
12.9,The Animation Pipeline,2,3,12,803,805,805,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.09_the_animation_pipeline.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.09_the_animation_pipeline.md,3635,3635
12.10,Action State Machines,2,3,12,805,825,807,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.10_action_state_machines.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.10_action_state_machines.md,40114,4720
12.10.1,The Flat Weighted Average Approach,3,3,12,807,811,811,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.10.01_the_flat_weighted_average_approach.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.10.01_the_flat_weighted_average_approach.md,8010,8010
12.10.2,Blend Trees,3,3,12,811,815,815,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.10.02_blend_trees.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.10.02_blend_trees.md,6803,6803
12.10.3,State and Blend Tree Specifications,3,3,12,815,819,819,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.10.03_state_and_blend_tree_specifications.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.10.03_state_and_blend_tree_specifications.md,8400,8400
12.10.4,Transitions,3,3,12,819,824,824,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.10.04_transitions.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.10.04_transitions.md,9531,9531
12.10.5,Control Parameters,3,3,12,824,825,825,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.10.05_control_parameters.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.10.05_control_parameters.md,3668,3668
12.11,Constraints,2,3,12,825,835,826,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.11_constraints.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.11_constraints.md,21201,1388
12.11.1,Attachments,3,3,12,826,827,827,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.11.01_attachments.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.11.01_attachments.md,3083,3083
12.11.2,Interobject Registration,3,3,12,827,830,830,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.11.02_interobject_registration.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.11.02_interobject_registration.md,5952,5952
12.11.3,Grabbing and Hand IK,3,3,12,830,832,832,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.11.03_grabbing_and_hand_ik.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.11.03_grabbing_and_hand_ik.md,4253,4253
12.11.4,Motion Extraction and Foot IK,3,3,12,832,835,835,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.11.04_motion_extraction_and_foot_ik.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.11.04_motion_extraction_and_foot_ik.md,6138,6138
12.11.5,Other Kinds of Constraints,3,3,12,835,835,835,part_03_graphics_motion_and_sound/chapter_12_animation_systems/hierarchical/12.11.05_other_kinds_of_constraints.md,part_03_graphics_motion_and_sound/chapter_12_animation_systems/atomic/12.11.05_other_kinds_of_constraints.md,1405,1405
13,Collision and Rigid Body Dynamics,1,3,13,836,929,837,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13_collision_and_rigid_body_dynamics.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13_collision_and_rigid_body_dynamics.md,212474,2216
13.1,Do You Want Physics in Your Game?,2,3,13,837,842,837,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.01_do_you_want_physics_in_your_game.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.01_do_you_want_physics_in_your_game.md,11998,922
13.1.1,Things You Can Do with a Physics System,3,3,13,837,838,838,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/hierarchical/13.01.01_things_you_can_do_with_a_physics_system.md,part_03_graphics_motion_and_sound/chapter_13_collision_and_rigid_body_dynamics/atomic/13.01.01_things_you_can_do_with_a_physics_system.md,1847,1847
